NUM,     NOME    ,  it,p,   DI, HI, M, DF, HF, M ,     VAZAO   ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
1, CAMARGOS    ,1, ,2,0,0, F ,   ,   ,40,
2, ITUTINGA    ,1, ,2,0,0, F ,   ,   ,10,
4, FUNIL-GRANDE,1, ,2,0,0, F ,   ,   ,31,
24, EMBORCACAO  ,1, ,2,0,0, F ,   ,   ,25,
27, CAPIM BRANC1,1, ,2,0,0, F ,   ,   ,2,
28, CAPIM BRANC2,1, ,2,0,0, F ,   ,   ,4,
25, NOVA PONTE  ,1, ,2,0,0, F ,   ,   ,47,
33, SAO SIMAO   ,1, ,2,0,0, F ,   ,   ,160,
156, TRES MARIAS ,1, ,2,0,0, F ,   ,   ,70,
9, JAGUARA     ,1, ,2,0,0, F ,   ,   ,2,
11, VOLTA GRANDE,1, ,2,0,0, F ,   ,   ,20,
134, SALTO GRANDE,1, ,2,0,0, F ,   ,   ,18,
26, MIRANDA     ,1, ,2,0,0, F ,   ,   ,12,
10, IGARAPAVA   ,1, ,2,0,0, F ,   ,   ,10,
143, AIMORES     ,1, ,2,0,0, F ,   ,   ,22,
162, QUEIMADO    ,1, ,2,0,0, F ,   ,   ,6,
148, IRAPE       ,1, ,2,0,0, F ,   ,   ,6,
217, ROSAL       ,1, ,2,0,0, F ,   ,   ,7,
193, SA CARVALHO ,1, ,2,0,0, F ,   ,   ,1,
141, BAGUARI     ,1, ,2,0,0, F ,   ,   ,14,
14, CACONDE     ,1, ,2,0,0, F ,   ,   ,11,
18, A. VERMELHA ,1, ,2,0,0, F ,   ,   ,60,
37, BARRA BONITA,1, ,2,0,0, F ,   ,   ,120,
40, PROMISSAO   ,1, ,2,0,0, F ,   ,   ,45,
42, NAVANHANDAVA,1, ,2,0,0, F ,   ,   ,15,
15, E. DA CUNHA ,1, ,2,0,0, F ,   ,   ,8,
16, A.S.OLIVEIRA,1, ,2,0,0, F ,   ,   ,1,
38, A.S. LIMA   ,1, ,2,0,0, F ,   ,   ,40,
39, IBITINGA    ,1, ,2,0,0, F ,   ,   ,40,
62, TAQUARUCU   ,1, ,2,0,0, F ,   ,   ,62,
63, ROSANA      ,1, ,2,0,0, F ,   ,   ,190,
52, CANOAS I    ,1, ,2,0,0, F ,   ,   ,50,
51, CANOAS II   ,1, ,2,0,0, F ,   ,   ,7,
47, A.A. LAYDNER,1, ,2,0,0, F ,   ,   ,362,
49, CHAVANTES   ,1, ,2,0,0, F ,   ,   ,299,
61, CAPIVARA    ,1, ,2,0,0, F ,   ,   ,1244,
50, L.N. GARCEZ ,1, ,2,0,0, F ,   ,   ,75,
45, JUPIA       ,1, ,2,0,0, F ,   ,   ,509,
46, P. PRIMAVERA,1, ,2,0,0, F ,   ,   ,534,
120, JAGUARI     ,1, ,2,0,0, F ,   ,   ,10,
121, PARAIBUNA   ,1, ,2,0,0, F ,   ,   ,23,
6, FURNAS      ,1, ,2,0,0, F ,   ,   ,87,
7, M. DE MORAES,1, ,2,0,0, F ,   ,   ,63,
8, ESTREITO    ,1, ,2,0,0, F ,   ,   ,13,
12, P. COLOMBIA ,1, ,2,0,0, F ,   ,   ,33,
17, MARIMBONDO  ,1, ,2,0,0, F ,   ,   ,166,
31, ITUMBIARA   ,1, ,2,0,0, F ,   ,   ,70,
30, CORUMBA I   ,1, ,2,0,0, F ,   ,   ,60,
251, SERRA MESA  ,1, ,2,0,0, F ,   ,   ,86,
278, MANSO       ,1, ,2,0,0, F ,   ,   ,71,
123, FUNIL       ,1, ,2,0,0, F ,   ,   ,18,
20, BATALHA     ,1, ,2,0,0, F ,   ,   ,12,
287, STO ANTONIO ,1, ,2,0,0, F ,   ,   ,67,
257, PEIXE ANGIC ,1, ,2,0,0, F ,   ,   ,65,
122, SANTA BRANCA,1, ,2,0,0, F ,   ,   ,2,
130, ILHA POMBOS ,1, ,2,0,0, F ,   ,   ,13,
125, STA CECILIA ,1, ,2,0,0, F ,   ,   ,15,
32, CACH.DOURADA,1, ,2,0,0, F ,   ,   ,20,
135, P. ESTRELA  ,1, ,2,0,0, F ,   ,   ,1,
139, CANDONGA    ,1, ,2,0,0, F ,   ,   ,34,
262, SALTO       ,1, ,2,0,0, F ,   ,   ,78,
89, GARIBALDI   ,1, ,2,0,0, F ,   ,   ,113,
144, MASCARENHAS ,1, ,2,0,0, F ,   ,   ,11,
66, ITAIPU      ,1, ,2,0,0, F ,   ,   ,1223,
74, G.B. MUNHOZ ,1, ,2,0,0, F ,   ,   ,390,
76, SEGREDO     ,1, ,2,0,0, F ,   ,   ,120,
82, SALTO CAXIAS,1, ,2,0,0, F ,   ,   ,110,
115, G.P. SOUZA  ,1, ,2,0,0, F ,   ,   ,18,
73, JORDAO      ,1, ,2,0,0, F ,   ,   ,15,
71, STA CLARA PR,1, ,2,0,0, F ,   ,   ,60,
72, FUNDAO      ,1, ,2,0,0, F ,   ,   ,8,
57, MAUA        ,1, ,2,0,0, F ,   ,   ,74,
77, SLT.SANTIAGO,1, ,2,0,0, F ,   ,   ,110,
78, SALTO OSORIO,1, ,2,0,0, F ,   ,   ,40,
93, PASSO FUNDO ,1, ,2,0,0, F ,   ,   ,70,
91, MACHADINHO  ,1, ,2,0,0, F ,   ,   ,125,
92, ITA         ,1, ,2,0,0, F ,   ,   ,115,
252, CANA BRAVA  ,1, ,2,0,0, F ,   ,   ,15,
253, SAO SALVADOR,1, ,2,0,0, F ,   ,   ,15,
267, ESTREITO TOC,1, ,2,0,0, F ,   ,   ,300,
281, PONTE PEDRA ,1, ,2,0,0, F ,   ,   ,62,
86, BARRA GRANDE,1, ,2,0,0, F ,   ,   ,286,
90, CAMPOS NOVOS,1, ,2,0,0, F ,   ,   ,69,
97, CASTRO ALVES,1, ,2,0,0, F ,   ,   ,198,
98, MONTE CLARO ,1, ,2,0,0, F ,   ,   ,158,
99, 14 DE JULHO ,1, ,2,0,0, F ,   ,   ,20,
103, FOZ CHAPECO ,1, ,2,0,0, F ,   ,   ,225,
169, SOBRADINHO  ,1, ,2,0,0, F ,   ,   ,1,
172, ITAPARICA   ,1, ,2,0,0, F ,   ,   ,1,
173, MOXOTO      ,1, ,2,0,0, F ,   ,   ,1,
174, P.AFONSO 123,1, ,2,0,0, F ,   ,   ,1,
175, P.AFONSO 4  ,1, ,2,0,0, F ,   ,   ,1,
178, XINGO       ,1, ,2,0,0, F ,   ,   ,1,
190, B. ESPERANCA,1, ,2,0,0, F ,   ,   ,140,
189, P. CAVALO   ,1, ,2,0,0, F ,   ,   ,3,
275, TUCURUI     ,1, ,2,0,0, F ,   ,   ,429,
272, CURUA-UNA   ,1, ,2,0,0, F ,   ,   ,103,
279, SAMUEL      ,1, ,2,0,0, F ,   ,   ,135,
280, COARACY NUNE,1, ,2,0,0, F ,   ,   ,1,
204, CACH.CALDEIR,1, ,2,0,0, F ,   ,   ,400,
127, SOBRAGI     ,1, ,2,0,0, F ,   ,   ,16,
126, PICADA      ,1, ,2,0,0, F ,   ,   ,9,
283, STA CLARA MG,1, ,2,0,0, F ,   ,   ,5,
261, LAJEADO     ,1, ,2,0,0, F ,   ,   ,68,
48, PIRAJU      ,1, ,2,0,0, F ,   ,   ,3,
249, OURINHOS    ,1, ,2,0,0, F ,   ,   ,3,
241, SLT VERDINHO,1, ,2,0,0, F ,   ,   ,7,
304, ITIQUIRA I  ,1, ,2,0,0, F ,   ,   ,60,
305, ITIQUIRA II ,1, ,2,0,0, F ,   ,   ,1,
196, GUAPORE     ,1, ,2,0,0, F ,   ,   ,38,
195, JAURU       ,1, ,2,0,0, F ,   ,   ,66,
95, QUEBRA QUEIX,1, ,2,0,0, F ,   ,   ,35,
203, CORUMBA III ,1, ,2,0,0, F ,   ,   ,2,
154, ITAPEBI     ,1, ,2,0,0, F ,   ,   ,21,
310, DARDANELOS  ,1, ,2,0,0, F ,   ,   ,35,
29, CORUMBA IV  ,1, ,2,0,0, F ,   ,   ,34,
94, MONJOLINHO  ,1, ,2,0,0, F ,   ,   ,77,
